# 558f5b70-e1a4-4eb3-87df-261eead726fd
# 447dd4e522d5f650aade7d90cbcf15a5d2ed6878
# x_m,y_m,vx_mps,s_m,psi_rad,kappa_radpm,ax_mps2
12.6043305,9.0089831,6.2277794,0.0000000,-3.1261920,-0.1731410,0.5069049
12.6041119,8.8101706,6.2440127,0.1997000,3.1246834,-0.1522988,1.2803821
12.5977966,8.6099129,6.2848293,0.3993999,3.0960901,-0.1324211,1.9773953
12.5862694,8.4109491,6.3473499,0.5990999,3.0721653,-0.1079551,2.8426815
12.5703911,8.2115060,6.4361648,0.7987998,3.0529259,-0.0836344,3.7048126
12.5512350,8.0128456,6.5501083,0.9984998,3.0388742,-0.0573822,4.4396273
12.5297627,7.8140613,6.6840935,1.1981997,3.0299793,-0.0311474,4.4040687
12.5070798,7.6156342,6.8144031,1.3978997,3.0264676,-0.0040835,-7.0663637
12.4842152,7.4170578,6.6040734,1.5975996,3.0283324,0.0226595,-6.7963648
12.4622686,7.2185467,6.3952574,1.7972996,3.0355280,0.0494827,-5.8725592
12.4422640,7.0196258,6.2091721,1.9969995,3.0480539,0.0752345,-5.0503337
12.4252814,6.8207602,6.0445608,2.1966995,3.0655989,0.1007850,-4.3889255
12.4122696,6.6211351,5.8977775,2.3963994,3.0881623,0.1238684,-3.7820724
12.4042317,6.4219730,5.7682943,2.5960994,3.1151117,0.1468199,-3.3651389
12.4020062,6.2217102,5.6505914,2.7957994,-3.1367468,0.1652141,-2.9582465
12.4063591,6.0228491,5.5450573,2.9954993,-3.1020434,0.1840254,-2.7988125
12.4180668,5.8225652,5.4433275,3.1951993,-3.0639804,0.1955925,-2.6598795
12.4374538,5.6243760,5.3448535,3.3948992,-3.0237739,0.2069837,-2.6546799
12.4651423,5.4260227,5.2447288,3.5945992,-2.9818578,0.2118462,-2.7166699
12.5010926,5.2296577,5.1402473,3.7942991,-2.9390276,0.2162308,-2.8045021
12.5454501,5.0351561,5.0301118,3.9939991,-2.8956109,0.2193033,-2.9154611
12.5985402,4.8419809,4.9130021,4.1936990,-2.8507552,0.2307016,-2.7766857
12.6598760,4.6532706,4.7988104,4.3933990,-2.8033675,0.2468722,-2.7645114
12.7312566,4.4654627,4.6823537,4.5930989,-2.7532020,0.2527209,-2.8858533
12.8115239,4.2827106,4.5576119,4.7927989,-2.7020603,0.2595015,-3.0124022
12.9007498,4.1051117,4.4236493,4.9924988,-2.6497251,0.2675423,-2.7737847
13.0004953,3.9307968,4.2966061,5.1921988,-2.5927319,0.3031511,-2.3751471
13.1098495,3.7640547,4.1847569,5.3918988,-2.5282482,0.3412499,-2.0566161
13.2296888,3.6058695,4.0854349,5.5915987,-2.4570984,0.3761414,-1.7588721
13.3624697,3.4554876,3.9985353,5.7912987,-2.3783017,0.4104098,-1.4797232
